año,mes,rin
1994,Dic,12464.168
1995,Ene,12530.018
1995,Feb,12758.6024
1995,Mar,12823.0964
1995,Abr,12680.9669
1995,May,12719.7076
1995,Jun,13492.0989
1995,Jul,13360.5114
1995,Ago,13754.0842
1995,Sep,13792.2257
1995,Oct,13768.0546
1995,Nov,14503.088
1995,Dic,15339.976
1996,Ene,15602.6943
1996,Feb,15548.3697
1996,Mar,16023.6476
1996,Abr,16003.8781
1996,May,16612.8124
1996,Jun,17584.9675
1996,Jul,20481.7691
1996,Ago,20596.8601
1996,Sep,21288.6284
1996,Oct,21234.3078
1996,Nov,21729.717
1996,Dic,22204.9693
1997,Ene,22830.5714
1997,Feb,24111.8012
1997,Mar,24307.448
1997,Abr,25028.5937
1997,May,25515.6035
1997,Jun,25634.7396
1997,Jul,25984.2777
1997,Ago,26165.0441
1997,Sep,25885.4744
1997,Oct,27603.2673
1997,Nov,27748.8082
1997,Dic,27659.87891
1998,Ene,28230.5663
1998,Feb,28574.98411
1998,Mar,28797.65281
1998,Abr,29592.11571
1998,May,29488.8356
1998,Jun,30469.3044
1998,Jul,30247.839
1998,Ago,30823.50911
1998,Sep,30594.83819
1998,Oct,30457.3539
1998,Nov,30286.8327
1998,Dic,28927.8746
1999,Ene,31222.6761
1999,Feb,31553.9725
1999,Mar,29377.6645
1999,Abr,29541.1592
1999,May,29190.3834
1999,Jun,28984.6034
1999,Jul,29240.0613
1999,Ago,29216.92094
1999,Sep,29848.9411
1999,Oct,30283.78206
1999,Nov,29951.67628
1999,Dic,29496.73073
2000,Ene,30661.9401
2000,Feb,30303.62362
2000,Mar,30635.37
2000,Abr,30536.77453
2000,May,31419.81432
2000,Jun,30397.78532
2000,Jul,30615.92427
2000,Ago,30353.78711
2000,Sep,30689.98781
2000,Oct,29711.82304
2000,Nov,29799.20439
2000,Dic,28875.32548
2001,Ene,28950.34374
2001,Feb,28302.84823
2001,Mar,28551.63872
2001,Abr,29175.77096
2001,May,29777.4545
2001,Jun,29362.3333
2001,Jul,30362.93488
2001,Ago,30223.59966
2001,Sep,30203.6255
2001,Oct,30342.8339
2001,Nov,30160.77754
2001,Dic,29629.89242
2002,Ene,30161.52001
2002,Feb,31326.46475
2002,Mar,30312.29281
2002,Abr,31205.07828
2002,May,31705.67969
2002,Jun,32033.41802
2002,Jul,34155.71131
2002,Ago,35687.53274
2002,Sep,35877.87327
2002,Oct,35570.5312
2002,Nov,34282.25048
2002,Dic,33689.36301
2003,Ene,34217.20116
2003,Feb,35763.86942
2003,Mar,36237.07512
2003,Abr,36180.15325
2003,May,36259.80614
2003,Jun,34689.29724
2003,Jul,34663.22251
2003,Ago,33891.95413
2003,Sep,33948.95831
2003,Oct,34039.01556
2003,Nov,35853.80963
2003,Dic,35272.29444
2004,Ene,36972.86611
2004,Feb,36445.45646
2004,Mar,36022.39849
2004,Abr,36439.11386
2004,May,37775.01865
2004,Jun,37666.18109
2004,Jul,37813.47959
2004,Ago,36833.73721
2004,Sep,37363.3272
2004,Oct,40390.4636
2004,Nov,40836.95629
2004,Dic,41429.74662
2005,Ene,42786.72539
2005,Feb,43448.85949
2005,Mar,44187.78638
2005,Abr,44429.72311
2005,May,45552.58594
2005,Jun,44908.11842
2005,Jul,49668.30892
2005,Ago,44690.97203
2005,Sep,45742.75253
2005,Oct,45788.25069
2005,Nov,46181.3705
2005,Dic,48352.90019
2006,Ene,46801.14642
2006,Feb,46022.64511
2006,Mar,48627.11136
2006,Abr,47971.74232
2006,May,46832.61962
2006,Jun,46994.09085
2006,Jul,47425.897
2006,Ago,49828.50387
2006,Sep,49309.65507
2006,Oct,50308.97217
2006,Nov,53044.46305
2006,Dic,55279.42208
2007,Ene,57117.98954
2007,Feb,57853.1648
2007,Mar,58598.0694
2007,Abr,62461.6159
2007,May,67428.69651
2007,Jun,68243.71999
2007,Jul,73732.3159
2007,Ago,76059.61501
2007,Sep,70536.6482
2007,Oct,74669.10132
2007,Nov,79042.78149
2007,Dic,83066.28312
2008,Ene,90058.17553
2008,Feb,93364.38196
2008,Mar,92335.10281
2008,Abr,101531.8286
2008,May,99000.90011
2008,Jun,105489.809
2008,Jul,98256.19511
2008,Ago,103006.5998
2008,Sep,103411.1485
2008,Oct,98672.53508
2008,Nov,96007.61833
2008,Dic,97955.08367
2009,Ene,95711.04327
2009,Feb,95589.6994
2009,Mar,97737.08131
2009,Abr,92926.06815
2009,May,93253.80074
2009,Jun,92679.25281
2009,Jul,95945.28539
2009,Ago,94266.18735
2009,Sep,92855.49469
2009,Oct,95468.52609
2009,Nov,96273.47592
2009,Dic,95760.19378
2010,Ene,98218.88036
2010,Feb,99777.40549
2010,Mar,100162.919
2010,Abr,99889.79162
2010,May,98292.79996
2010,Jun,100016.1471
2010,Jul,108950.2334
2010,Ago,112571.6618
2010,Sep,118475.6116
2010,Oct,120275.9807
2010,Nov,124815.3874
2010,Dic,123935.2385
2011,Ene,123295.0443
2011,Feb,128161.9031
2011,Mar,129154.7052
2011,Abr,131164.8712
2011,May,128270.4661
2011,Jun,129667.1372
2011,Jul,130625.7546
2011,Ago,132446.736
2011,Sep,133147.7913
2011,Oct,131967.2304
2011,Nov,132434.9036
2011,Dic,131802.9852
2012,Ene,136731.6717
2012,Feb,142884.8113
2012,Mar,148956.5532
2012,Abr,151772.367
2012,May,154150.14
2012,Jun,152790.4288
2012,Jul,152487.2583
2012,Ago,156003.2403
2012,Sep,159017.6023
2012,Oct,160332.0011
2012,Nov,163096.121
2012,Dic,163178.1754
2013,Ene,172900.3004
2013,Feb,175159.8223
2013,Mar,175907.8832
2013,Abr,180193.1152
2013,May,182269.4384
2013,Jun,185377.9861
2013,Jul,188645.162
2013,Ago,187244.9218
2013,Sep,185507.3926
2013,Oct,183903.373
2013,Nov,185582.1073
2013,Dic,183856.6703
2014,Ene,183508.1558
2014,Feb,182494.2276
2014,Mar,182520.0446
2014,Abr,181888.9912
2014,May,179023.1353
2014,Jun,180827.2067
2014,Jul,183500.2848
2014,Ago,184174.4317
2014,Sep,186268.8411
2014,Oct,185506.5795
2014,Nov,184689.057
2014,Dic,185678.1451
2015,Ene,191613.6408
2015,Feb,191259.6434
2015,Mar,190102.0438
2015,Abr,192892.0495
2015,May,190905.4523
2015,Jun,190854.7434
2015,Jul,190550.7789
2015,Ago,196385.0631
2015,Sep,197835.092
2015,Oct,204544.8051
2015,Nov,209602.1226
2015,Dic,209663.4737
2016,Ene,208135.7226
2016,Feb,211896.9115
2016,Mar,204064.521
2016,Abr,200977.0351
2016,May,204286.8792
2016,Jun,195965.5292
2016,Jul,205248.4329
2016,Ago,209395.4631
2016,Sep,209354.8297
2016,Oct,208349.7518
2016,Nov,209250.1163
2016,Dic,207263.4192
2017,Ene,205236.9579
2017,Feb,203068.5921
2017,Mar,203083.0657
2017,Abr,204112.5853
2017,May,207363.2573
2017,Jun,203453.7655
2017,Jul,204282.4496
2017,Ago,200896.7274
2017,Sep,210456.1495
2017,Oct,206570.8741
2017,Nov,203435.1062
2017,Dic,206132.1953
2018,Ene,207012.4181
2018,Feb,201744.1954
2018,Mar,200364.0358
2018,Abr,195618.9727
2018,May,196413.1943
2018,Jun,193189.4697
2018,Jul,198806.1181
2018,Ago,198906.9185
2018,Sep,191203.6856
2018,Oct,197118.7972
2018,Nov,200728.2446
2018,Dic,202608.6739
2019,Ene,207724.0523
2019,Feb,208737.642
2019,Mar,209463.1328
2019,Abr,214760.557
2019,May,223462.7584
2019,Jun,218826.3595
2019,Jul,220952.4633
2019,Ago,232114.1894
2019,Sep,229367.2447
2019,Oct,227754.1034
2019,Nov,227020.915
2019,Dic,226125.6114
2020,Ene,231187.4427
2020,Feb,233256.7698
2020,Mar,233995.7733
2020,Abr,248877.2549
2020,May,251896.2255
2020,Jun,252931.9806
2020,Jul,262405.0961
2020,Ago,264324.0076
2020,Sep,260474.0012
2020,Oct,261610.3262
2020,Nov,258921.6075
2020,Dic,270439.0187
2021,Ene,278364.9374
2021,Feb,277505.2132
2021,Mar,299706.489
2021,Abr,292072.8517
2021,May,279125.3218
